assetPath,displayName,prefabName,category,role,rendererName,materialName,colorHex,colorName
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Crystal Great Axe.asset","Crystal Great Axe","Weapon_Dungeon_Crystal_Axe_Large_01","Axe","accent","Weapon Model","Dungeon_Material_01","3A3227","palette of brown, red, dark yellow"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Crystal Halberd.asset","Crystal Halberd","Weapon_Dungeon_Crysta_Halberdl_01","Polearm","accent","Weapon Model","Dungeon_Material_01","362F25","palette of brown, dark yellow, red"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Crystal Ornate Sword.asset","Crystal Ornate Sword","Weapon_Dungeon_Crystal_Ornate_Straightsword_01","Sword","accent","Weapon Model","Dungeon_Material_01","554E4C","palette of brown, red, dark orange"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Crystal Twinblade.asset","Crystal Twinblade","Weapon_Dungeon_Crystal_DoubleSword_01","Sword","blade","Weapon Model","Dungeon_Material_01","312B22","palette of brown, red, dark gold"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Curved Greatsword.asset","Curved Greatsword","Weapon_Dungeon_Greatsword_Curved_01","Greatsword","blade","Weapon Model","Dungeon_Material_01","3D3631","palette of brown, red"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Cutlass.asset","Cutlass","Weapon_Dungeon_Cutlass_01","Sword","blade","Weapon Model","Dungeon_Material_01","4E4744","palette of brown, red, dark gold"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Double-Bladed Staff.asset","Double-Bladed Staff","Weapon_Dungeon_Staff_DoubleBlade_01","Focus","blade","Weapon Model","Dungeon_Material_01","4D4743","palette of brown, dark orange, red"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Gem Goblin Hammer.asset","Gem Goblin Hammer","Weapon_Dungeon_Goblin_Gem_Hammer_01","Blunt","accent","Weapon Model","Dungeon_Material_01","201C16","palette of dark gold, dark orange, red"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Gem Staff.asset","Gem Staff","Weapon_Dungeon_Staff_Gem_01","Focus","accent","Weapon Model","Dungeon_Material_01","161511","palette of dark gold, brown, red"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Axe.asset","Goblin Axe","Weapon_Dungeon_Goblin_Axe_01","Axe","head","Weapon Model","Dungeon_Material_01","201C16","palette of dark gold, red, brown"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Club.asset","Goblin Club","Weapon_Dungeon_Goblin_Club_01","Blunt","head","Weapon Model","Dungeon_Material_01","2C261E","palette of brown, dark gold, dark red"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Great Axe.asset","Goblin Great Axe","Weapon_Dungeon_Goblin_Axe_Large_01","Axe","head","Weapon Model","Dungeon_Material_01","6B342C","palette of red, brown, dark orange"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Halberd.asset","Goblin Halberd","Weapon_Dungeon_Goblin_Halberd_01","Polearm","shaft","Weapon Model","Dungeon_Material_01","160F0A","palette of dark orange, dark gold, brown"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Mace.asset","Goblin Mace","Weapon_Dungeon_Goblin_Mace_01","Blunt","head","Weapon Model","Dungeon_Material_01","312A21","palette of brown, red, dark orange"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Machete.asset","Goblin Machete","Weapon_Dungeon_Goblin_Machete_01","Sword","blade","Weapon Model","Dungeon_Material_01","352E24","palette of brown, dark gold, dark orange"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Spear.asset","Goblin Spear","Weapon_Dungeon_Goblin_Spear_01","Polearm","shaft","Weapon Model","Dungeon_Material_01","231D14","palette of dark gold, dark orange, brown"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Staff.asset","Goblin Staff","Weapon_Dungeon_Goblin_Staff_01","Focus","body","Weapon Model","Dungeon_Material_01","3B3328","palette of brown, dark gold, dark orange"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Gravestone Shield.asset","Gravestone Shield","Weapon_Dungeon_Shield_Gravestone_01","Shield","shield face","Weapon Model","Dungeon_Material_01","362A1E","palette of brown, dark gold, red"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Greatsword.asset","Greatsword","Weapon_Dungeon_GreatSword_01","Greatsword","blade","Weapon Model","Dungeon_Material_01","1E1B15","palette of dark gold, brown, red"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Halberd.asset","Halberd","Weapon_Dungeon_Halberd_06","Polearm","shaft","Weapon Model","Dungeon_Material_01","231D14","palette of dark gold, brown, dark yellow"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Hammer 02.asset","Hammer 02","Weapon_Dungeon_Hammer_Small_02","Blunt","head","Weapon Model","Dungeon_Material_01","201C16","palette of dark gold, brown, dark yellow"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Hammer.asset","Hammer","Weapon_Dungeon_Hammer_Small_01","Blunt","head","Weapon Model","Dungeon_Material_01","201C16","palette of dark gold, brown, red"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Hand Axe.asset","Hand Axe","Weapon_Dungeon_HandAxe_01","Axe","head","Weapon Model","Dungeon_Material_01","302A21","palette of brown, dark gold, red"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Heater Shield 01.asset","Heater Shield 01","Weapon_Dungeon_Shield_Heater_01","Shield","shield face","Weapon Model","Dungeon_Material_01","2F2920","palette of brown, red, dark gold"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Heater Shield 02.asset","Heater Shield 02","Weapon_Dungeon_Shield_Heater_02","Shield","shield face","Weapon Model","Dungeon_Material_01","6B342C","palette of red, dark yellow, brown"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Metal Glaive.asset","Metal Glaive","Weapon_Dungeon_Handle_Metal_01","Polearm","shaft","Weapon Model","Dungeon_Material_01","2C261E","palette of brown, dark gold"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Metal Great Hammer 02.asset","Metal Great Hammer 02","Weapon_Dungeon_Hammer_Large_Metal_010","Blunt","head","Weapon Model","Dungeon_Material_01","2C261E","palette of brown, dark gold, dark orange"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Metal Great Hammer.asset","Metal Great Hammer","Weapon_Dungeon_Hammer_Large_Metal_01","Blunt","head","Weapon Model","Dungeon_Material_01","342D24","palette of brown, dark gold, dark orange"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Axe 01.asset","Ornate Axe 01","Weapon_Dungeon_Ornate_Axe_01","Axe","head","Weapon Model","Dungeon_Material_01","4F4845","palette of brown, red, dark gold"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Axe 02.asset","Ornate Axe 02","Weapon_Dungeon_Ornate_Axe_02","Axe","head","Weapon Model","Dungeon_Material_01","4D4643","palette of brown, red, dark gold"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Great Axe.asset","Ornate Great Axe","Weapon_Dungeon_Ornate_GreatAxe_01","Axe","head","Weapon Model","Dungeon_Material_01","554E4C","palette of brown, dark gold, dark orange"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Long Pike.asset","Ornate Long Pike","Weapon_Dungeon_Ornate_Spikes_Long_01","Polearm","shaft","Weapon Model","Dungeon_Material_01","554E4C","palette of brown, dark gold, red"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Pike.asset","Ornate Pike","Weapon_Dungeon_Ornate_Spikes_01","Polearm","shaft","Weapon Model","Dungeon_Material_01","554E4C","palette of brown, dark gold, red"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Shield 01.asset","Ornate Shield 01","Weapon_Dungeon_Shield_Ornate_01","Shield","shield face","Weapon Model","Dungeon_Material_01","504845","palette of brown, red, dark gold"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Shield 02.asset","Ornate Shield 02","Weapon_Dungeon_Shield_Ornate_02","Shield","shield face","Weapon Model","Dungeon_Material_01","3A3227","palette of brown, red, dark gold"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Spear.asset","Ornate Spear","Weapon_Dungeon_Ornate_Spear_01","Polearm","shaft","Weapon Model","Dungeon_Material_01","1E1B15","palette of dark gold, brown, dark cyan"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Sword 01.asset","Ornate Sword 01","Weapon_Dungeon_Ornate_Sword_01","Sword","blade","Weapon Model","Dungeon_Material_01","524B48","palette of brown, dark cyan, dark gold"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Sword 02.asset","Ornate Sword 02","Weapon_Dungeon_Ornate_Sword_02","Sword","blade","Weapon Model","Dungeon_Material_01","4C4540","palette of brown, red, dark gold"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Plank Shield.asset","Plank Shield","Weapon_Dungeon_Shield_Plank_01","Shield","shield face","Weapon Model","Dungeon_Material_01","160F0A","palette of dark orange, brown, dark gold"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Round Greatsword.asset","Round Greatsword","Weapon_Dungeon_Greatsword_Round_01","Greatsword","blade","Weapon Model","Dungeon_Material_01","362F27","palette of brown, red, dark gold"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Round Shield.asset","Round Shield","Weapon_Dungeon_Shield_Round_01","Shield","shield face","Weapon Model","Dungeon_Material_01","2E281F","palette of brown, red, dark orange"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Runed Axe.asset","Runed Axe","Weapon_Dungeon_Axe_Rune_01","Axe","head","Weapon Model","Dungeon_Material_01","201C16","palette of dark gold, brown, red"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Skull Shield.asset","Skull Shield","Weapon_Dungeon_Shield_Skull_01","Shield","shield face","Weapon Model","Dungeon_Material_01","312A21","palette of brown, dark orange, red"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Spear 02.asset","Spear 02","Weapon_Dungeon_Spear_02","Polearm","shaft","Weapon Model","Dungeon_Material_01","2E271F","palette of brown, dark gold, dark orange"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Spear.asset","Spear","Weapon_Dungeon_Spear_01","Polearm","shaft","Weapon Model","Dungeon_Material_01","373026","palette of brown, dark yellow, dark orange"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Sphere Mace.asset","Sphere Mace","Weapon_Dungeon_Hammer_Mace_Sphere_01","Blunt","head","Weapon Model","Dungeon_Material_01","201C16","palette of dark gold, brown, dark yellow"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Spiked Goblin Axe.asset","Spiked Goblin Axe","Weapon_Dungeon_Goblin_Axe_Spikes_01","Polearm","shaft","Weapon Model","Dungeon_Material_01","201C16","palette of dark gold, dark orange, red"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Spiked Goblin Machete.asset","Spiked Goblin Machete","Weapon_Dungeon_Goblin_Machete_Spikes_01","Polearm","shaft","Weapon Model","Dungeon_Material_01","383026","palette of brown, dark orange, red"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Spiked Mace.asset","Spiked Mace","Weapon_Dungeon_Hammer_Mace_Spikes_01","Polearm","shaft","Weapon Model","Dungeon_Material_01","1A1A17","palette of dark yellow, dark gold, brown"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Spiked Shield.asset","Spiked Shield","Weapon_Dungeon_Shield_Spike_01","Shield","shield face","Weapon Model","Dungeon_Material_01","393227","palette of brown, dark gold, red"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Stone Goblin Shiv.asset","Stone Goblin Shiv","Weapon_Dungeon_Goblin_Shiv_Stone_01","Dagger","blade","Weapon Model","Dungeon_Material_01","181712","palette of dark gold, brown, dark orange"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Stone Great Hammer.asset","Stone Great Hammer","Weapon_Dungeon_Hammer_Large_Stone_01","Blunt","head","Weapon Model","Dungeon_Material_01","362E24","palette of brown, dark gold, red"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Stone Mace.asset","Stone Mace","Weapon_Dungeon_Hammer_Mace_Stone_01","Blunt","head","Weapon Model","Dungeon_Material_01","2C261E","palette of brown, dark orange, dark gold"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Straight Greatsword.asset","Straight Greatsword","Weapon_Dungeon_Greatsword_Straight_01","Greatsword","blade","Weapon Model","Dungeon_Material_01","504947","palette of brown, red, dark magenta"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Straight Sword.asset","Straight Sword","Weapon_Dungeon_Straightsword_01","Sword","blade","Weapon Model","Dungeon_Material_01","161511","palette of dark gold, brown"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Verdant Axe.asset","Verdant Axe","Weapon_Dungeon_Axe_Nature_01","Axe","head","Weapon Model","Dungeon_Material_01","160F0A","palette of dark orange, brown, dark green"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/War Banner 01.asset","War Banner 01","Weapon_Dungeon_Banner_01","Polearm","shaft","Weapon Model","Dungeon_Material_01","160F0A","palette of dark orange, brown, dark gold"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/War Banner 02.asset","War Banner 02","Weapon_Dungeon_Banner_02","Polearm","shaft","Weapon Model","Dungeon_Material_01","55130E","palette of red, brown, dark orange"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/War Banner 03.asset","War Banner 03","Weapon_Dungeon_Banner_03","Polearm","shaft","Weapon Model","Dungeon_Material_01","662D26","palette of red, brown, dark gold"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/War Banner 04.asset","War Banner 04","Weapon_Dungeon_Banner_04","Polearm","shaft","Weapon Model","Dungeon_Material_01","632821","palette of red, brown, dark orange"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/War Banner 05.asset","War Banner 05","Weapon_Dungeon_Banner_05","Polearm","shaft","Weapon Model","Dungeon_Material_01","5A1B16","palette of red, dark orange, dark green"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Wooden Glaive.asset","Wooden Glaive","Weapon_Dungeon_Handle_Wood_01","Polearm","shaft","Weapon Model","Dungeon_Material_01","2C261E","palette of brown, dark orange, red"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Wooden Great Hammer.asset","Wooden Great Hammer","Weapon_Dungeon_Hammer_Large_Wood_01","Blunt","head","Weapon Model","Dungeon_Material_01","342D23","palette of brown, dark gold, dark orange"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Archer Shield.asset","Archer Shield","Weapon_Shield_16","Shield","shield face","Weapon Model","FantasyHero","5C4620","palette of gold, dark blue, magenta"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Archer Shield.asset","Archer Shield","Weapon_Shield_16","Shield","shield face","Weapon Model","FantasyHero","200D0A","palette of dark red, dark green, muted cyan"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Banded Shield.asset","Banded Shield","Weapon_Shield_09","Shield","shield face","Weapon Model","FantasyHero","212620","palette of dark green, dark red, muted cyan"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Banded Tower Shield.asset","Banded Tower Shield","Weapon_Shield_Long_09","Shield","shield face","Weapon Model","FantasyHero","261F1A","palette of brown, dark red, muted cyan"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Beast Crest Shield.asset","Beast Crest Shield","Weapon_Shield_02","Shield","shield face","Weapon Model","FantasyHero","212620","palette of dark green, muted cyan, dark red"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Beast Tower Shield.asset","Beast Tower Shield","Weapon_Shield_Long_02","Shield","shield face","Weapon Model","FantasyHero","261F1A","palette of brown, dark red, muted cyan"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Chevron Tower Shield.asset","Chevron Tower Shield","Weapon_Shield_Long_15","Shield","shield face","Weapon Model","FantasyHero","261F1A","palette of brown, dark red, muted cyan"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Cross Shield 02.asset","Cross Shield 02","Weapon_Shield_17","Shield","guard","Weapon Model","FantasyHero","212620","palette of dark green, muted cyan, dark red"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Cross Shield.asset","Cross Shield","Weapon_Shield_05","Shield","guard","Weapon Model","FantasyHero","212620","palette of dark green, muted cyan, dark red"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Cross Tower Shield.asset","Cross Tower Shield","Weapon_Shield_Long_05","Shield","guard","Weapon Model","FantasyHero","261F1A","palette of brown, dark red, muted cyan"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Crown Shield 02.asset","Crown Shield 02","Weapon_Shield_20","Shield","shield face","Weapon Model","FantasyHero","212620","palette of dark green, dark red, muted cyan"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Crown Shield.asset","Crown Shield","Weapon_Shield_04","Shield","shield face","Weapon Model","FantasyHero","212620","palette of dark green, dark red, muted cyan"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Crown Tower Shield.asset","Crown Tower Shield","Weapon_Shield_Long_04","Shield","shield face","Weapon Model","FantasyHero","261F1A","palette of brown, dark red, muted cyan"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Crusader Shield.asset","Crusader Shield","Weapon_Shield_08","Shield","shield face","Weapon Model","FantasyHero","212620","palette of dark green, muted cyan, dark red"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Dagger.asset","Dagger","Weapon_Dagger_01","Dagger","blade","Weapon Model","FantasyHero","261F1A","palette of brown, muted cyan"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Fleur Shield 02.asset","Fleur Shield 02","Weapon_Shield_19","Shield","shield face","Weapon Model","FantasyHero","212620","palette of dark green, dark red, muted cyan"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Fleur Shield.asset","Fleur Shield","Weapon_Shield_03","Shield","shield face","Weapon Model","FantasyHero","212620","palette of dark green, dark red, muted cyan"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Fleur Tower Shield.asset","Fleur Tower Shield","Weapon_Shield_Long_03","Shield","shield face","Weapon Model","FantasyHero","261F1A","palette of brown, dark red, muted cyan"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Greatsword.asset","Greatsword","Weapon_Sword_Large_01","Greatsword","blade","Weapon Model","FantasyHero","261F1A","palette of brown, muted cyan, dark red"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Halfcoat Shield.asset","Halfcoat Shield","Weapon_Shield_07","Shield","shield face","Weapon Model","FantasyHero","212620","palette of dark green, muted cyan, dark red"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Hand Axe.asset","Hand Axe","Weapon_Axe_01","Axe","head","Weapon Model","FantasyHero","261F1A","palette of brown, dark red, muted cyan"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Herald Tower Shield.asset","Herald Tower Shield","Weapon_Shield_Long_16","Shield","shield face","Weapon Model","FantasyHero","261F1A","palette of brown, dark red, muted cyan"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Jousting Lance 01.asset","Jousting Lance 01","Weapon_Joust_01","Polearm","shaft","Weapon Model","FantasyHero","261F1A","palette of brown, dark cyan, orange"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Jousting Lance 02.asset","Jousting Lance 02","Weapon_Joust_02","Polearm","shaft","Weapon Model","FantasyHero","261F1A","palette of brown, dark red"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Jousting Lance 03.asset","Jousting Lance 03","Weapon_Joust_03","Polearm","shaft","Weapon Model","FantasyHero","261F1A","palette of brown, gold, dark red"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Lion Crest Shield 02.asset","Lion Crest Shield 02","Weapon_Shield_18","Shield","shield face","Weapon Model","FantasyHero","212620","palette of dark green, muted cyan, dark red"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Lion Crest Shield.asset","Lion Crest Shield","Weapon_Shield_01","Shield","shield face","Weapon Model","FantasyHero","212620","palette of dark green, dark red, muted cyan"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Lion Tower Shield.asset","Lion Tower Shield","Weapon_Shield_Long_01","Shield","shield face","Weapon Model","FantasyHero","261F1A","palette of brown, dark red, muted cyan"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Long Staff.asset","Long Staff","Weapon_Staff_02","Focus","body","Weapon Model","FantasyHero","81521A","palette of orange, dark cyan"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Mace 01.asset","Mace 01","Weapon_Mace_01","Blunt","head","Weapon Model","FantasyHero","404A4C","palette of muted cyan, brown, dark red"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Plain Shield.asset","Plain Shield","Weapon_Shield_12","Shield","shield face","Weapon Model","FantasyHero","212620","palette of dark green, dark red, muted cyan"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Plain Tower Shield 02.asset","Plain Tower Shield 02","Weapon_Shield_Long_12","Shield","shield face","Weapon Model","FantasyHero","261F1A","palette of brown, dark red, muted cyan"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Plain Tower Shield.asset","Plain Tower Shield","Weapon_Shield_Long_07","Shield","shield face","Weapon Model","FantasyHero","261F1A","palette of brown, dark red, muted cyan"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Quartered Shield.asset","Quartered Shield","Weapon_Shield_10","Shield","shield face","Weapon Model","FantasyHero","202620","palette of dark green, dark red, muted cyan"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Quartered Tower Shield.asset","Quartered Tower Shield","Weapon_Shield_Long_10","Shield","shield face","Weapon Model","FantasyHero","261F1A","palette of brown, dark red, muted cyan"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Rapier.asset","Rapier","Weapon_Sword_Rapier_01","Rapier","blade","Weapon Model","FantasyHero","261F1A","palette of brown, muted cyan"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Round Buckler.asset","Round Buckler","Weapon_Shield_Buckler_01","Shield","shield face","Weapon Model","FantasyHero","404A4C","palette of muted cyan, dark red, brown"
