name,assetPath,previewPath,weaponClass,weaponModelType,promptCategory,prompt
"Broken Sword","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Broken Sword.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Broken Sword.png","StraightSword","Weapon","sword","Create a single game inventory icon PNG of 'Broken Sword'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact blade length, blade width, guard silhouette, grip length, and pommel silhouette from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Wear should be minimal and shape-driven, not texture-heavy. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the sword. Do not change proportions, do not add extra ornaments, and do not add painterly texture. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Chitin Shield","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Chitin Shield.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Chitin Shield.png","LightShield","Shield","shield","Create a single game inventory icon PNG of 'Chitin Shield'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact shield outline, face shape, width, rim thickness, and strap-side mass distribution from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Use simplified low-poly metal and leather with broad flat color areas and minimal texture detail. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the shield. Do not add filigree, extra crests, extra spikes, extra dents, cloth, or painterly texture. Do not round the silhouette. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Crystal Axe","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Crystal Axe.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Crystal Axe.png","StraightSword","Weapon","axe","Create a single game inventory icon PNG of 'Crystal Axe'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact handle length, blade size, blade angle, and head silhouette from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Use angular low-poly crystal planes with minimal internal detail. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the axe. Do not widen the blade, do not curve the handle, do not add extra spikes, engravings, or painterly texture. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Crystal Great Axe","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Crystal Great Axe.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Crystal Great Axe.png","StraightSword","Weapon","axe","Create a single game inventory icon PNG of 'Crystal Great Axe'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact handle length, blade size, blade angle, and head silhouette from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Use angular low-poly crystal planes with minimal internal detail. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the axe. Do not widen the blade, do not curve the handle, do not add extra spikes, engravings, or painterly texture. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Crystal Halberd","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Crystal Halberd.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Crystal Halberd.png","Spear","Weapon","polearm","Create a single game inventory icon PNG of 'Crystal Halberd'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact shaft length, shaft thickness, head size, head placement, and tip silhouette from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Use angular low-poly crystal planes with minimal internal detail. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the polearm. Do not change shaft length, do not enlarge the head, do not add banners, hooks, tassels, or ornaments unless already visible in the reference. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Crystal Ornate Sword","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Crystal Ornate Sword.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Crystal Ornate Sword.png","StraightSword","Weapon","sword","Create a single game inventory icon PNG of 'Crystal Ornate Sword'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact blade length, blade width, guard silhouette, grip length, and pommel silhouette from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Use angular low-poly crystal planes with minimal internal detail. Keep heraldic ornament broad and simplified, never intricate. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the sword. Do not change proportions, do not add extra ornaments, and do not add painterly texture. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Crystal Twinblade","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Crystal Twinblade.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Crystal Twinblade.png","StraightSword","Weapon","sword","Create a single game inventory icon PNG of 'Crystal Twinblade'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact blade length, blade width, guard silhouette, grip length, and pommel silhouette from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Use angular low-poly crystal planes with minimal internal detail. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the sword. Do not change proportions, do not add extra ornaments, and do not add painterly texture. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Curved Greatsword","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Curved Greatsword.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Curved Greatsword.png","StraightSword","Weapon","greatsword","Create a single game inventory icon PNG of 'Curved Greatsword'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact blade length, blade width, guard silhouette, grip length, and pommel silhouette from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Use simplified low-poly metal, wood, or leather with broad flat color areas and minimal texture detail. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the greatsword. Do not change proportions, do not add extra ornaments, and do not add painterly texture. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Cutlass","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Cutlass.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Cutlass.png","StraightSword","Weapon","sword","Create a single game inventory icon PNG of 'Cutlass'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact blade length, blade width, guard silhouette, grip length, and pommel silhouette from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Use simplified low-poly metal, wood, or leather with broad flat color areas and minimal texture detail. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the sword. Do not change proportions, do not add extra ornaments, and do not add painterly texture. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Double-Bladed Staff","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Double-Bladed Staff.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Double-Bladed Staff.png","Spear","Weapon","focus","Create a single game inventory icon PNG of 'Double-Bladed Staff'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact compact silhouette, outer contour, and major mass placement from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Use simplified low-poly magical object materials with broad flat color areas and minimal texture detail. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the object. Do not add gems, chains, particles, glow effects, floating pieces, or ornate detail unless already visible in the reference. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Gem Goblin Hammer","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Gem Goblin Hammer.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Gem Goblin Hammer.png","StraightSword","Weapon","blunt","Create a single game inventory icon PNG of 'Gem Goblin Hammer'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact handle length, handle thickness, head size, head silhouette, and all major spikes or stone masses from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Use angular low-poly crystal planes with minimal internal detail. Use crude low-poly scavenged shapes with uneven but simple large forms. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the weapon. Do not enlarge the head, do not add more spikes, stones, wraps, pendants, cracks, or painterly details than shown in the prefab reference. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Gem Staff","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Gem Staff.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Gem Staff.png","Spear","Weapon","focus","Create a single game inventory icon PNG of 'Gem Staff'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact compact silhouette, outer contour, and major mass placement from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Use angular low-poly crystal planes with minimal internal detail. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the object. Do not add gems, chains, particles, glow effects, floating pieces, or ornate detail unless already visible in the reference. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Goblin Axe","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Axe.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Goblin Axe.png","StraightSword","Weapon","axe","Create a single game inventory icon PNG of 'Goblin Axe'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact handle length, blade size, blade angle, and head silhouette from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Use crude low-poly scavenged shapes with uneven but simple large forms. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the axe. Do not widen the blade, do not curve the handle, do not add extra spikes, engravings, or painterly texture. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Goblin Club","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Club.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Goblin Club.png","StraightSword","Weapon","blunt","Create a single game inventory icon PNG of 'Goblin Club'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact handle length, handle thickness, head size, head silhouette, and all major spikes or stone masses from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Use crude low-poly scavenged shapes with uneven but simple large forms. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the weapon. Do not enlarge the head, do not add more spikes, stones, wraps, pendants, cracks, or painterly details than shown in the prefab reference. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Goblin Great Axe","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Great Axe.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Goblin Great Axe.png","StraightSword","Weapon","axe","Create a single game inventory icon PNG of 'Goblin Great Axe'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact handle length, blade size, blade angle, and head silhouette from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Use crude low-poly scavenged shapes with uneven but simple large forms. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the axe. Do not widen the blade, do not curve the handle, do not add extra spikes, engravings, or painterly texture. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
"Goblin Halberd","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Halberd.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Goblin Halberd.png","Spear","Weapon","polearm","Create a single game inventory icon PNG of 'Goblin Halberd'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact shaft length, shaft thickness, head size, head placement, and tip silhouette from the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, and minimal surface noise. Use crude low-poly scavenged shapes with uneven but simple large forms. Composition: one isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Important: preserve the reference proportions exactly. Preserve the same number of major shape masses. Preserve the same wrapping placement, spike placement, head size, handle length, guard shape, and tip shape visible in the prefab preview. Do not redesign the polearm. Do not change shaft length, do not enlarge the head, do not add banners, hooks, tassels, or ornaments unless already visible in the reference. No realism, no painterly brushwork, no ornate reinterpretation, no extra decorative detail, no glow, no text, no watermark."
