assetPath,currentObjectName,currentDisplayName,suggestedDisplayName,itemType,weaponClass,weaponModelType,prefabName,meshNames,previewPath,namingNotes
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Crystal Twinblade.asset","Crystal Twinblade","Crystal Twinblade","Crystal Weapon","MeleeWeaponItem","StraightSword","Weapon","Weapon_Dungeon_Crystal_DoubleSword_01","SM_Wep_Crystal_DoubleSword_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Crystal Twinblade.png","source='Crystal Twinblade', prefab='Weapon_Dungeon_Crystal_DoubleSword_01', type='Weapon', descriptor='Crystal'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Curved Greatsword.asset","Curved Greatsword","Curved Greatsword","Greatsword","MeleeWeaponItem","StraightSword","Weapon","Weapon_Dungeon_Greatsword_Curved_01","SM_Wep_Greatsword_Curved_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Curved Greatsword.png","source='Curved Greatsword', prefab='Weapon_Dungeon_Greatsword_Curved_01', type='Greatsword', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Cutlass.asset","Cutlass","Cutlass","Cutlass","MeleeWeaponItem","StraightSword","Weapon","Weapon_Dungeon_Cutlass_01","SM_Wep_Cutlass_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Cutlass.png","source='Cutlass', prefab='Weapon_Dungeon_Cutlass_01', type='Cutlass', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Double-Bladed Staff.asset","Double-Bladed Staff","Double-Bladed Staff","Double-Bladed Staff","MeleeWeaponItem","Spear","Weapon","Weapon_Dungeon_Staff_DoubleBlade_01","SM_Wep_Staff_DoubleBlade_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Double-Bladed Staff.png","source='Double-Bladed Staff', prefab='Weapon_Dungeon_Staff_DoubleBlade_01', type='Staff', descriptor='Double-Bladed'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Gem Goblin Hammer.asset","Gem Goblin Hammer","Gem Goblin Hammer","Goblin Hammer","MeleeWeaponItem","StraightSword","Weapon","Weapon_Dungeon_Goblin_Gem_Hammer_01","SM_Wep_Goblin_Gem_Hammer_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Gem Goblin Hammer.png","source='Gem Goblin Hammer', prefab='Weapon_Dungeon_Goblin_Gem_Hammer_01', type='Hammer', descriptor='Goblin'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Gem Staff.asset","Gem Staff","Gem Staff","Gem Staff","MeleeWeaponItem","Spear","Weapon","Weapon_Dungeon_Staff_Gem_01","SM_Wep_Staff_Gem_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Gem Staff.png","source='Gem Staff', prefab='Weapon_Dungeon_Staff_Gem_01', type='Staff', descriptor='Gem'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Axe.asset","Goblin Axe","Goblin Axe","Goblin Axe","MeleeWeaponItem","StraightSword","Weapon","Weapon_Dungeon_Goblin_Axe_01","SM_Wep_Goblin_Axe_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Goblin Axe.png","source='Goblin Axe', prefab='Weapon_Dungeon_Goblin_Axe_01', type='Axe', descriptor='Goblin'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Club.asset","Goblin Club","Goblin Club","Goblin Club","MeleeWeaponItem","StraightSword","Weapon","Weapon_Dungeon_Goblin_Club_01","SM_Wep_Goblin_Club_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Goblin Club.png","source='Goblin Club', prefab='Weapon_Dungeon_Goblin_Club_01', type='Club', descriptor='Goblin'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Great Axe.asset","Goblin Great Axe","Goblin Great Axe","Goblin Axe","MeleeWeaponItem","StraightSword","Weapon","Weapon_Dungeon_Goblin_Axe_Large_01","SM_Wep_Goblin_Axe_Large_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Goblin Great Axe.png","source='Goblin Great Axe', prefab='Weapon_Dungeon_Goblin_Axe_Large_01', type='Axe', descriptor='Goblin'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Halberd.asset","Goblin Halberd","Goblin Halberd","Goblin Halberd","MeleeWeaponItem","Spear","Weapon","Weapon_Dungeon_Goblin_Halberd_01","SM_Wep_Goblin_Halberd_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Goblin Halberd.png","source='Goblin Halberd', prefab='Weapon_Dungeon_Goblin_Halberd_01', type='Halberd', descriptor='Goblin'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Mace.asset","Goblin Mace","Goblin Mace","Goblin Mace","MeleeWeaponItem","StraightSword","Weapon","Weapon_Dungeon_Goblin_Mace_01","SM_Wep_Goblin_Mace_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Goblin Mace.png","source='Goblin Mace', prefab='Weapon_Dungeon_Goblin_Mace_01', type='Mace', descriptor='Goblin'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Machete.asset","Goblin Machete","Goblin Machete","Goblin Machete","MeleeWeaponItem","StraightSword","Weapon","Weapon_Dungeon_Goblin_Machete_01","SM_Wep_Goblin_Machete_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Goblin Machete.png","source='Goblin Machete', prefab='Weapon_Dungeon_Goblin_Machete_01', type='Machete', descriptor='Goblin'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Spear.asset","Goblin Spear","Goblin Spear","Goblin Spear","MeleeWeaponItem","Spear","Weapon","Weapon_Dungeon_Goblin_Spear_01","SM_Wep_Goblin_Spear_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Goblin Spear.png","source='Goblin Spear', prefab='Weapon_Dungeon_Goblin_Spear_01', type='Spear', descriptor='Goblin'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Goblin Staff.asset","Goblin Staff","Goblin Staff","Goblin Staff","MeleeWeaponItem","Spear","Weapon","Weapon_Dungeon_Goblin_Staff_01","SM_Wep_Goblin_Staff_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Goblin Staff.png","source='Goblin Staff', prefab='Weapon_Dungeon_Goblin_Staff_01', type='Staff', descriptor='Goblin'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Gravestone Shield.asset","Gravestone Shield","Gravestone Shield","Gravestone Shield","MeleeWeaponItem","MediumShield","Shield","Weapon_Dungeon_Shield_Gravestone_01","SM_Wep_Shield_Gravestone_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Gravestone Shield.png","source='Gravestone Shield', prefab='Weapon_Dungeon_Shield_Gravestone_01', type='Shield', descriptor='Gravestone'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Greatsword.asset","Greatsword","Greatsword","Greatsword","MeleeWeaponItem","StraightSword","Weapon","Weapon_Dungeon_GreatSword_01","SM_Wep_GreatSword_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Greatsword.png","source='Greatsword', prefab='Weapon_Dungeon_GreatSword_01', type='Greatsword', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Halberd.asset","Halberd","Halberd","Halberd","MeleeWeaponItem","Spear","Weapon","Weapon_Dungeon_Halberd_06","SM_Wep_Halberd_06","Assets/Game/Docs/WeaponPreviewExports/Previews/Halberd.png","source='Halberd', prefab='Weapon_Dungeon_Halberd_06', type='Halberd', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Hammer 02.asset","Hammer 02","Hammer 02","Hammer","MeleeWeaponItem","StraightSword","Weapon","Weapon_Dungeon_Hammer_Small_02","SM_Wep_Hammer_Small_02","Assets/Game/Docs/WeaponPreviewExports/Previews/Hammer 02.png","source='Hammer 02', prefab='Weapon_Dungeon_Hammer_Small_02', type='Hammer', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Hammer.asset","Hammer","Hammer","Hammer","MeleeWeaponItem","StraightSword","Weapon","Weapon_Dungeon_Hammer_Small_01","SM_Wep_Hammer_Small_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Hammer.png","source='Hammer', prefab='Weapon_Dungeon_Hammer_Small_01', type='Hammer', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Hand Axe.asset","Hand Axe","Hand Axe","Hand Axe","MeleeWeaponItem","StraightSword","Weapon","Weapon_Dungeon_HandAxe_01","SM_Wep_HandAxe_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Hand Axe.png","source='Hand Axe', prefab='Weapon_Dungeon_HandAxe_01', type='Hand Axe', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Heater Shield 01.asset","Heater Shield 01","Heater Shield 01","Heater Heater Shield","MeleeWeaponItem","MediumShield","Shield","Weapon_Dungeon_Shield_Heater_01","SM_Wep_Shield_Heater_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Heater Shield 01.png","source='Heater Shield 01', prefab='Weapon_Dungeon_Shield_Heater_01', type='Heater Shield', descriptor='Heater'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Heater Shield 02.asset","Heater Shield 02","Heater Shield 02","Heater Heater Shield","MeleeWeaponItem","MediumShield","Shield","Weapon_Dungeon_Shield_Heater_02","SM_Wep_Shield_Heater_02","Assets/Game/Docs/WeaponPreviewExports/Previews/Heater Shield 02.png","source='Heater Shield 02', prefab='Weapon_Dungeon_Shield_Heater_02', type='Heater Shield', descriptor='Heater'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Metal Glaive.asset","Metal Glaive","Metal Glaive","Spear","MeleeWeaponItem","Spear","Weapon","Weapon_Dungeon_Handle_Metal_01","SM_Wep_Handle_Metal_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Metal Glaive.png","source='Metal Glaive', prefab='Weapon_Dungeon_Handle_Metal_01', type='Spear', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Metal Great Hammer 02.asset","Metal Great Hammer 02","Metal Great Hammer 02","Hammer","MeleeWeaponItem","StraightSword","Weapon","Weapon_Dungeon_Hammer_Large_Metal_010","SM_Wep_Hammer_Large_Metal_010","Assets/Game/Docs/WeaponPreviewExports/Previews/Metal Great Hammer 02.png","source='Metal Great Hammer 02', prefab='Weapon_Dungeon_Hammer_Large_Metal_010', type='Hammer', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Metal Great Hammer.asset","Metal Great Hammer","Metal Great Hammer","Hammer","MeleeWeaponItem","StraightSword","Weapon","Weapon_Dungeon_Hammer_Large_Metal_01","SM_Wep_Hammer_Large_Metal_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Metal Great Hammer.png","source='Metal Great Hammer', prefab='Weapon_Dungeon_Hammer_Large_Metal_01', type='Hammer', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Axe 01.asset","Ornate Axe 01","Ornate Axe 01","Ornate Axe","MeleeWeaponItem","StraightSword","Weapon","Weapon_Dungeon_Ornate_Axe_01","SM_Wep_Ornate_Axe_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Ornate Axe 01.png","source='Ornate Axe 01', prefab='Weapon_Dungeon_Ornate_Axe_01', type='Axe', descriptor='Ornate'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Axe 02.asset","Ornate Axe 02","Ornate Axe 02","Ornate Axe","MeleeWeaponItem","StraightSword","Weapon","Weapon_Dungeon_Ornate_Axe_02","SM_Wep_Ornate_Axe_02","Assets/Game/Docs/WeaponPreviewExports/Previews/Ornate Axe 02.png","source='Ornate Axe 02', prefab='Weapon_Dungeon_Ornate_Axe_02', type='Axe', descriptor='Ornate'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Great Axe.asset","Ornate Great Axe","Ornate Great Axe","Ornate Axe","MeleeWeaponItem","StraightSword","Weapon","Weapon_Dungeon_Ornate_GreatAxe_01","SM_Wep_Ornate_GreatAxe_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Ornate Great Axe.png","source='Ornate Great Axe', prefab='Weapon_Dungeon_Ornate_GreatAxe_01', type='Axe', descriptor='Ornate'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Long Pike.asset","Ornate Long Pike","Ornate Long Pike","Ornate Spear","MeleeWeaponItem","Spear","Weapon","Weapon_Dungeon_Ornate_Spikes_Long_01","SM_Wep_Ornate_Spikes_Long_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Ornate Long Pike.png","source='Ornate Long Pike', prefab='Weapon_Dungeon_Ornate_Spikes_Long_01', type='Spear', descriptor='Ornate'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Pike.asset","Ornate Pike","Ornate Pike","Ornate Spear","MeleeWeaponItem","Spear","Weapon","Weapon_Dungeon_Ornate_Spikes_01","SM_Wep_Ornate_Spikes_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Ornate Pike.png","source='Ornate Pike', prefab='Weapon_Dungeon_Ornate_Spikes_01', type='Spear', descriptor='Ornate'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Shield 01.asset","Ornate Shield 01","Ornate Shield 01","Ornate Ornate Shield","MeleeWeaponItem","MediumShield","Shield","Weapon_Dungeon_Shield_Ornate_01","SM_Wep_Shield_Ornate_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Ornate Shield 01.png","source='Ornate Shield 01', prefab='Weapon_Dungeon_Shield_Ornate_01', type='Ornate Shield', descriptor='Ornate'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Shield 02.asset","Ornate Shield 02","Ornate Shield 02","Ornate Ornate Shield","MeleeWeaponItem","MediumShield","Shield","Weapon_Dungeon_Shield_Ornate_02","SM_Wep_Shield_Ornate_02","Assets/Game/Docs/WeaponPreviewExports/Previews/Ornate Shield 02.png","source='Ornate Shield 02', prefab='Weapon_Dungeon_Shield_Ornate_02', type='Ornate Shield', descriptor='Ornate'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Spear.asset","Ornate Spear","Ornate Spear","Ornate Spear","MeleeWeaponItem","Spear","Weapon","Weapon_Dungeon_Ornate_Spear_01","SM_Wep_Ornate_Spear_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Ornate Spear.png","source='Ornate Spear', prefab='Weapon_Dungeon_Ornate_Spear_01', type='Spear', descriptor='Ornate'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Sword 01.asset","Ornate Sword 01","Ornate Sword 01","Ornate Sword","MeleeWeaponItem","StraightSword","Weapon","Weapon_Dungeon_Ornate_Sword_01","SM_Wep_Ornate_Sword_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Ornate Sword 01.png","source='Ornate Sword 01', prefab='Weapon_Dungeon_Ornate_Sword_01', type='Sword', descriptor='Ornate'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Sword 02.asset","Ornate Sword 02","Ornate Sword 02","Ornate Sword","MeleeWeaponItem","StraightSword","Weapon","Weapon_Dungeon_Ornate_Sword_02","SM_Wep_Ornate_Sword_02","Assets/Game/Docs/WeaponPreviewExports/Previews/Ornate Sword 02.png","source='Ornate Sword 02', prefab='Weapon_Dungeon_Ornate_Sword_02', type='Sword', descriptor='Ornate'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Plank Shield.asset","Plank Shield","Plank Shield","Plank Shield","MeleeWeaponItem","LightShield","Shield","Weapon_Dungeon_Shield_Plank_01","SM_Wep_Shield_Plank_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Plank Shield.png","source='Plank Shield', prefab='Weapon_Dungeon_Shield_Plank_01', type='Shield', descriptor='Plank'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Round Greatsword.asset","Round Greatsword","Round Greatsword","Greatsword","MeleeWeaponItem","StraightSword","Weapon","Weapon_Dungeon_Greatsword_Round_01","SM_Wep_Greatsword_Round_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Round Greatsword.png","source='Round Greatsword', prefab='Weapon_Dungeon_Greatsword_Round_01', type='Greatsword', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Round Shield.asset","Round Shield","Round Shield","Round Shield","MeleeWeaponItem","MediumShield","Shield","Weapon_Dungeon_Shield_Round_01","SM_Wep_Shield_Round_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Round Shield.png","source='Round Shield', prefab='Weapon_Dungeon_Shield_Round_01', type='Round Shield', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Runed Axe.asset","Runed Axe","Runed Axe","Runed Axe","MeleeWeaponItem","StraightSword","Weapon","Weapon_Dungeon_Axe_Rune_01","SM_Wep_Axe_Rune_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Runed Axe.png","source='Runed Axe', prefab='Weapon_Dungeon_Axe_Rune_01', type='Axe', descriptor='Runed'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Skull Shield.asset","Skull Shield","Skull Shield","Skull Shield","MeleeWeaponItem","LightShield","Shield","Weapon_Dungeon_Shield_Skull_01","SM_Wep_Shield_Skull_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Skull Shield.png","source='Skull Shield', prefab='Weapon_Dungeon_Shield_Skull_01', type='Shield', descriptor='Skull'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Spear 02.asset","Spear 02","Spear 02","Spear","MeleeWeaponItem","Spear","Weapon","Weapon_Dungeon_Spear_02","SM_Wep_Spear_02","Assets/Game/Docs/WeaponPreviewExports/Previews/Spear 02.png","source='Spear 02', prefab='Weapon_Dungeon_Spear_02', type='Spear', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Spear.asset","Spear","Spear","Spear","MeleeWeaponItem","Spear","Weapon","Weapon_Dungeon_Spear_01","SM_Wep_Spear_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Spear.png","source='Spear', prefab='Weapon_Dungeon_Spear_01', type='Spear', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Sphere Mace.asset","Sphere Mace","Sphere Mace","Mace","MeleeWeaponItem","StraightSword","Weapon","Weapon_Dungeon_Hammer_Mace_Sphere_01","SM_Wep_Hammer_Mace_Sphere_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Sphere Mace.png","source='Sphere Mace', prefab='Weapon_Dungeon_Hammer_Mace_Sphere_01', type='Mace', descriptor=''"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Spiked Goblin Axe.asset","Spiked Goblin Axe","Spiked Goblin Axe","Goblin Axe","MeleeWeaponItem","StraightSword","Weapon","Weapon_Dungeon_Goblin_Axe_Spikes_01","SM_Wep_Goblin_Axe_Spikes_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Spiked Goblin Axe.png","source='Spiked Goblin Axe', prefab='Weapon_Dungeon_Goblin_Axe_Spikes_01', type='Axe', descriptor='Goblin'"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Spiked Goblin Machete.asset","Spiked Goblin Machete","Spiked Goblin Machete","Goblin Machete","MeleeWeaponItem","Spear","Weapon","Weapon_Dungeon_Goblin_Machete_Spikes_01","SM_Wep_Goblin_Machete_Spikes_01","Assets/Game/Docs/WeaponPreviewExports/Previews/Spiked Goblin Machete.png","source='Spiked Goblin Machete', prefab='Weapon_Dungeon_Goblin_Machete_Spikes_01', type='Machete', descriptor='Goblin'"
