assetPath,displayName
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Heater Shield 01.asset","Heater Shield 01"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Heater Shield 02.asset","Heater Shield 02"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Metal Glaive.asset","Metal Glaive"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Metal Great Hammer 02.asset","Metal Great Hammer 02"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Metal Great Hammer.asset","Metal Great Hammer"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Axe 01.asset","Ornate Axe 01"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Axe 02.asset","Ornate Axe 02"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Great Axe.asset","Ornate Great Axe"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Long Pike.asset","Ornate Long Pike"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Pike.asset","Ornate Pike"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Shield 01.asset","Ornate Shield 01"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Shield 02.asset","Ornate Shield 02"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Spear.asset","Ornate Spear"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Sword 01.asset","Ornate Sword 01"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Sword 02.asset","Ornate Sword 02"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Plank Shield.asset","Plank Shield"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Round Greatsword.asset","Round Greatsword"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Round Shield.asset","Round Shield"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Runed Axe.asset","Runed Axe"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Skull Shield.asset","Skull Shield"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Spear 02.asset","Spear 02"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Spear.asset","Spear"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Sphere Mace.asset","Sphere Mace"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Spiked Goblin Axe.asset","Spiked Goblin Axe"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Spiked Goblin Machete.asset","Spiked Goblin Machete"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Spiked Mace.asset","Spiked Mace"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Spiked Shield.asset","Spiked Shield"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Stone Goblin Shiv.asset","Stone Goblin Shiv"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Stone Great Hammer.asset","Stone Great Hammer"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Stone Mace.asset","Stone Mace"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Straight Greatsword.asset","Straight Greatsword"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Straight Sword.asset","Straight Sword"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Verdant Axe.asset","Verdant Axe"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/War Banner 01.asset","War Banner 01"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/War Banner 02.asset","War Banner 02"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/War Banner 03.asset","War Banner 03"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/War Banner 04.asset","War Banner 04"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/War Banner 05.asset","War Banner 05"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Wooden Glaive.asset","Wooden Glaive"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Wooden Great Hammer.asset","Wooden Great Hammer"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Archer Shield.asset","Archer Shield"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Banded Shield.asset","Banded Shield"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Banded Tower Shield.asset","Banded Tower Shield"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Beast Crest Shield.asset","Beast Crest Shield"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Beast Tower Shield.asset","Beast Tower Shield"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Chevron Tower Shield.asset","Chevron Tower Shield"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Cross Shield 02.asset","Cross Shield 02"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Cross Shield.asset","Cross Shield"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Cross Tower Shield.asset","Cross Tower Shield"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Crown Shield 02.asset","Crown Shield 02"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Crown Shield.asset","Crown Shield"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Crown Tower Shield.asset","Crown Tower Shield"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Crusader Shield.asset","Crusader Shield"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Dagger.asset","Dagger"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Fleur Shield 02.asset","Fleur Shield 02"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Fleur Shield.asset","Fleur Shield"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Fleur Tower Shield.asset","Fleur Tower Shield"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Greatsword.asset","Greatsword"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Halfcoat Shield.asset","Halfcoat Shield"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Hand Axe.asset","Hand Axe"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Herald Tower Shield.asset","Herald Tower Shield"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Jousting Lance 01.asset","Jousting Lance 01"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Jousting Lance 02.asset","Jousting Lance 02"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Jousting Lance 03.asset","Jousting Lance 03"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Lion Crest Shield 02.asset","Lion Crest Shield 02"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Lion Crest Shield.asset","Lion Crest Shield"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Lion Tower Shield.asset","Lion Tower Shield"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Long Staff.asset","Long Staff"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Mace 01.asset","Mace 01"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Plain Shield.asset","Plain Shield"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Plain Tower Shield 02.asset","Plain Tower Shield 02"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Plain Tower Shield.asset","Plain Tower Shield"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Quartered Shield.asset","Quartered Shield"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Quartered Tower Shield.asset","Quartered Tower Shield"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Rapier.asset","Rapier"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Round Buckler.asset","Round Buckler"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Scarred Shield 02.asset","Scarred Shield 02"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Scarred Shield.asset","Scarred Shield"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Scarred Tower Shield.asset","Scarred Tower Shield"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Sheathed Rapier.asset","Sheathed Rapier"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Sheathed Short Sword.asset","Sheathed Short Sword"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Sheathed Sword.asset","Sheathed Sword"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Short Sword.asset","Short Sword"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Spiked Mace.asset","Spiked Mace"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Split Shield.asset","Split Shield"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Split Tower Shield.asset","Split Tower Shield"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Sword.asset","Sword"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Templar Shield.asset","Templar Shield"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Templar Tower Shield.asset","Templar Tower Shield"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Throwing Knife.asset","Throwing Knife"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/War Staff.asset","War Staff"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Weathered Shield.asset","Weathered Shield"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Weathered Tower Shield 02.asset","Weathered Tower Shield 02"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Fantasy Hero Generated/Weathered Tower Shield.asset","Weathered Tower Shield"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Reaper Scythe.asset","Reaper Scythe"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Short Sword.asset","Short Sword"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Straight Sword.asset","Straight Sword"
"Assets/Game/Data/Items/Weapons/Melee Weapons/Unarmed.asset","Unarmed"
"Assets/Game/Data/Items/Weapons/Ranged Weapons/Hunting Bow.asset","Hunting Bow"
